prot	fs
X14.3.3.beta.R.V_GBL1113342	-1
X14.3.3.epsilon.M.C_GBL1033928	-1
X14.3.3.zeta.R.V_GBL1033883	-1
X4E.BP1.R.V_GBL9026169	1
X4E.BP1_pS65.R.V_GBL9026170	1
X4E.BP1_pT37_T46.R.V_GBL1033672	-1
X53BP1.R.V_GBL1033787	-1
A.Raf.R.V_GBL1033858	1
ACC_pS79.R.V_GBL9026172	1
ACC1.R.E_GBL1033674	1
ACVRL1.R.C_GBL1033834	0
ADAR1.M.V_GBL1033909	1
Akt.R.V_GBL9026174	1
Akt_pS473.R.V_GBL9026175	1
Akt_pT308.R.V_GBL9026176	1
AMPK.alpha.R.C_GBL1033675	1
AMPK.alpha_pT172.R.V_GBL1033676	1
Annexin.I.M.V_GBL1033912	-1
Annexin.VII.M.V_GBL1033907	-1
AR.R.V_GBL9026335	1
ARHI.M.C_GBL1033929	-1
ATM.R.V_GBL1033874	1
ATM_pS1981.R.V_GBL1033875	1
ATP5H.M.C_GBL1033913	1
ATR.R.C_GBL1033779	1
b.Catenin.R.V_GBL1033680	1
b.Catenin_pT41_S45.R.V_GBL1033855	1
B.Raf.M.C_GBL1033932	1
B.Raf_pS445.R.V_GBL1033685	1
Bad_pS112.R.V_GBL9026336	1
Bak.R.C_GBL9026182	-1
BAP1.M.V_GBL1033930	-1
Bax.R.V_GBL9026183	-1
Bcl.xL.R.V_GBL9026339	1
Bcl2.M.V_GBL1033931	1
Beclin.G.C_GBL1033953	0
Bid.R.C_GBL9026340	-1
Bim.R.V_GBL9026351	-1
BRCA2.R.C_GBL1033740	1
c.Jun_pS73.R.V_GBL1033689	1
c.Kit.R.V_GBL9026344	1
c.Met.M.QC_GBL1033899	1
c.Met_pY1234_Y1235.R.V_GBL1033735	1
c.Myc.R.C_GBL9026241	1
C.Raf.R.V_GBL9026278	1
C.Raf_pS338.R.V_GBL1033691	1
Caspase.7.cleaved.R.C_GBL1033686	-1
Caspase.8.M.QC_GBL1033903	-1
Caveolin.1.R.V_GBL9026195	1
CD29.M.V_GBL1033911	1
CD31.M.V_GBL9026349	1
CD49b.M.V_GBL1033902	1
CDK1.R.V_GBL9026196	1
Chk1.M.C_GBL1033910	1
Chk1_pS345.R.C_GBL9026198	1
Chk2.M.V_GBL1033889	1
Chk2_pT68.R.C_GBL9026199	1
Claudin.7.R.V_GBL9026201	1
Collagen.VI.R.V_GBL1033877	1
Complex.II.Subunit.M.V_GBL1033934	0
Cox.IV.M.C_GBL1033935	1
Cox2.R.C_GBL1033859	1
Cyclin.B1.R.V_GBL1033693	1
Cyclin.D1.R.V_GBL1033878	1
Cyclin.E1.M.V_GBL1033936	1
Cyclophilin.F.M.V_GBL1033937	1
DJ1.R.V_GBL1033777	1
Dvl3.R.V_GBL9026207	1
E.Cadherin.R.V_GBL9026188	-1
E2F1.M.V_GBL1033938	-1
eEF2.R.C_GBL1033822	1
eEF2K.R.V_GBL9026209	1
EGFR.R.V_GBL1033837	1
EGFR_pY1068.R.C_GBL1033694	1
EGFR_pY1173.R.V_GBL1033695	1
eIF4E.R.V_GBL9026214	1
eIF4G.R.C_GBL1033840	1
ER.alpha.R.V_GBL9026215	1
ER.alpha_pS118.R.V_GBL1033794	1
ERCC1.M.V_GBL1033939	1
Ets.1.R.V_GBL1033886	1
FAK.R.E_GBL1033864	1
FAK_pY397.R.V_GBL1033863	1
FASN.R.V_GBL1033852	1
Fibronectin.R.V_GBL1033958	1
FoxM1.R.V_GBL1033839	1
FoxO3a.R.C_GBL1033838	-1
FOXO3a_pS318_S321.R.C_GBL9026220	-1
